index,name,age,height,nationality,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league
0,Ederson,29,1.88,Brazil Portugal,45.0,70.0,Goalkeeper,31,left,Man City,2026-06-30,2017-07-01,Gestifute,Puma,EPL
1,Stefan Ortega,30,1.85,Germany Spain,6.0,6.0,Goalkeeper,18,right,Man City,2025-06-30,2022-07-01,neblung ...,,EPL
2,Scott Carson,37,1.88,England,0.25,6.0,Goalkeeper,33,right,Man City,2023-06-30,2021-07-20,Wasserman,Puma,EPL
3,Rúben Dias,26,1.87,Portugal,75.0,75.0,Defender - Centre-Back,3,right,Man City,2027-06-30,2020-09-29,Gestifute,Nike,EPL
4,Nathan Aké,28,1.8,Netherlands Cote d'Ivoire,35.0,40.0,Defender - Centre-Back,6,left,Man City,2025-06-30,2020-08-05,Wasserman,Nike,EPL
5,John Stones,28,1.88,England,30.0,60.0,Defender - Centre-Back,5,right,Man City,2026-06-30,2016-08-09,Wasserman,Nike,EPL
6,Aymeric Laporte,28,1.89,Spain France,30.0,75.0,Defender - Centre-Back,14,left,Man City,2025-06-30,2018-01-30,,adidas,EPL
7,Manuel Akanji,27,1.88,Switzerland Nigeria,30.0,40.0,Defender - Centre-Back,25,right,Man City,2027-06-30,2022-09-01,IFM,Nike,EPL
8,Sergio Gómez,22,1.71,Spain,15.0,15.0,Defender - Left-Back,21,left,Man City,2026-06-30,2022-08-16,SEG,,EPL
9,Benjamin Mendy,28,1.85,France Senegal,,45.0,Defender - Left-Back,22,left,Man City,2023-06-30,2017-07-24,Sport Cover,adidas,EPL
10,Kyle Walker,32,1.83,England,15.0,50.0,Defender - Right-Back,2,right,Man City,2024-06-30,2017-07-14,CAA Base Ltd,Puma,EPL
11,Rico Lewis,18,1.69,England,15.0,15.0,Defender - Right-Back,82,right,Man City,2024-06-30,2022-07-01,CAA Base Ltd,,EPL
12,Rodri,26,1.91,Spain,80.0,80.0,midfield - Defensive Midfield,16,right,Man City,2027-06-30,2019-07-04,Pablo Barquero,Nike,EPL
13,Kalvin Phillips,27,1.79,England Jamaica,35.0,50.0,midfield - Defensive Midfield,4,right,Man City,2028-06-30,2022-07-04,CAA Stellar,,EPL
14,Máximo Perrone,20,1.77,Argentina Spain,10.0,10.0,midfield - Defensive Midfield,32,left,Man City,2028-06-30,2023-01-23,,,EPL
15,Ilkay Gündogan,32,1.8,Germany,25.0,50.0,midfield - Central Midfield,8,right,Man City,2023-06-30,2016-07-01,KIN Partners,adidas,EPL
16,Kevin De Bruyne,31,1.81,Belgium,80.0,150.0,midfield - Attacking Midfield,17,right,Man City,2025-06-30,2015-08-30,,Nike,EPL
